,name,nobjquadnegev,nintvars,nnlvars,nsos1,nsos2,conscurvature,njacobiannz,nlaghessiandiagnz,ncontvars,nquadfunc,laghessianmaxblocksize,objsense,nbinvars,nlnz,convex,nz,nobjquadposev,laghessianminblocksize,nobjquadnz,solsource,nlaghessianblocks,donor,nsemi,nlaghessiannz,laghessianavgblocksize,ncons,nconcavenlcons,nnlbinvars,nconvexnlcons,nquadcons,nvars,nobjnlnz,solinfeasibility,objcurvature,nindefinitenlcons,nnlintvars,ndiagquadcons,nnlsemi,nobjnz,nlincons,nsingleboundedvars,nlinfunc,nboundedvars,njacobiannlnz,nobjquaddiagnz,objtype,probtype,solobjvalue,nnlfunc,density,nldensity,objquaddensity,objquadproblevfrac
39,QPLIB_10019,0.0,0.0,14400.0,0.0,0.0,indefinite,207160.0,14400.0,31370.0,4800.0,1.0,min,4800.0,14400.0,0.0,226360.0,0.0,1.0,0.0,Solution found by GUROBI,14400.0,Fabio Furini and Antonio Frangioni,0.0,14400.0,1.0,71284.0,0.0,0.0,0.0,4800.0,36170.0,0.0,2.910383046e-11,linear,4800.0,0.0,4800.0,0.0,19200.0,66484.0,4800.0,66485.0,0.0,14400.0,0.0,linear,LMQ,40389511.78,4800.0,8.77916118171e-05,0.000208333333333,0.0,0.0
40,QPLIB_10020,0.0,0.0,14400.0,0.0,0.0,indefinite,208401.0,14400.0,31372.0,4800.0,1.0,min,4800.0,14400.0,0.0,227601.0,0.0,1.0,0.0,Solution found by GUROBI,14400.0,Fabio Furini and Antonio Frangioni,0.0,14400.0,1.0,71712.0,0.0,0.0,0.0,4800.0,36172.0,0.0,1.250270998e-10,linear,4800.0,0.0,4800.0,0.0,19200.0,66912.0,4800.0,66913.0,0.0,14400.0,0.0,linear,LMQ,33161690.23,4800.0,8.77412369754e-05,0.000208333333333,0.0,0.0
41,QPLIB_10021,0.0,0.0,9000.0,0.0,0.0,indefinite,39000.0,9000.0,12000.0,3000.0,1.0,min,3000.0,9000.0,0.0,48000.0,0.0,1.0,0.0,Solution found by CPLEX,9000.0,Fabio Furini and Antonio Frangioni,0.0,9000.0,1.0,12155.0,0.0,0.0,0.0,3000.0,15000.0,0.0,2.328306437e-10,linear,3000.0,0.0,3000.0,0.0,9000.0,9155.0,0.0,9156.0,3000.0,9000.0,0.0,linear,LMQ,305256.2943,3000.0,0.000263244488319,0.000333333333333,0.0,0.0
42,QPLIB_10022,0.0,0.0,9000.0,0.0,0.0,indefinite,39000.0,9000.0,12000.0,3000.0,1.0,min,3000.0,9000.0,0.0,48000.0,0.0,1.0,0.0,Solution found by LOCALSOLVER,9000.0,Fabio Furini and Antonio Frangioni,0.0,9000.0,1.0,12155.0,0.0,0.0,0.0,3000.0,15000.0,0.0,1.164153218e-10,linear,3000.0,0.0,3000.0,0.0,9000.0,9155.0,0.0,9156.0,3000.0,9000.0,0.0,linear,LMQ,13560027.75,3000.0,0.000263244488319,0.000333333333333,0.0,0.0
43,QPLIB_10023,0.0,0.0,9000.0,0.0,0.0,indefinite,39000.0,9000.0,12000.0,3000.0,1.0,min,3000.0,9000.0,0.0,48000.0,0.0,1.0,0.0,Solution found by GUROBI,9000.0,Fabio Furini and Antonio Frangioni,0.0,9000.0,1.0,12155.0,0.0,0.0,0.0,3000.0,15000.0,0.0,1.164153218e-10,linear,3000.0,0.0,3000.0,0.0,9000.0,9155.0,0.0,9156.0,3000.0,9000.0,0.0,linear,LMQ,721348.9732,3000.0,0.000263244488319,0.000333333333333,0.0,0.0
44,QPLIB_10024,0.0,0.0,9000.0,0.0,0.0,indefinite,39000.0,9000.0,12000.0,3000.0,1.0,min,3000.0,9000.0,0.0,48000.0,0.0,1.0,0.0,Solution found by SCIP,9000.0,Fabio Furini and Antonio Frangioni,0.0,9000.0,1.0,12089.0,0.0,0.0,0.0,3000.0,15000.0,0.0,2.910383046e-11,linear,3000.0,0.0,3000.0,0.0,9000.0,9089.0,0.0,9090.0,3000.0,9000.0,0.0,linear,LMQ,115311.7109,3000.0,0.000264681555004,0.000333333333333,0.0,0.0
45,QPLIB_10025,0.0,0.0,1200.0,0.0,0.0,indefinite,6400.0,1200.0,1600.0,401.0,400.0,min,400.0,1600.0,0.0,7200.0,400.0,1.0,80200.0,Solution found by CPLEX,801.0,Fabio Furini and Antonio Frangioni,0.0,160800.0,1.498127,2003.0,0.0,0.0,0.0,400.0,2000.0,400.0,3.552713679e-15,convex,400.0,0.0,400.0,0.0,800.0,1603.0,400.0,1603.0,0.0,1200.0,400.0,quadratic,CMQ,128.9160937,401.0,0.00179640718563,0.00332502078138,1.0,0.0
46,QPLIB_10026,0.0,0.0,1200.0,0.0,0.0,indefinite,6400.0,1200.0,1600.0,401.0,400.0,min,400.0,1600.0,0.0,7200.0,400.0,1.0,80200.0,Solution found by GUROBI,801.0,Fabio Furini and Antonio Frangioni,0.0,160800.0,1.498127,2003.0,0.0,0.0,0.0,400.0,2000.0,400.0,3.929536135e-11,convex,400.0,0.0,400.0,0.0,800.0,1603.0,400.0,1603.0,0.0,1200.0,400.0,quadratic,CMQ,143.8460104,401.0,0.00179640718563,0.00332502078138,1.0,0.0
47,QPLIB_10027,0.0,0.0,1200.0,0.0,0.0,indefinite,6400.0,1200.0,1600.0,401.0,400.0,min,400.0,1600.0,0.0,7200.0,400.0,1.0,80200.0,Solution found by GUROBI,801.0,Fabio Furini and Antonio Frangioni,0.0,160800.0,1.498127,2003.0,0.0,0.0,0.0,400.0,2000.0,400.0,2.960511836e-10,convex,400.0,0.0,400.0,0.0,800.0,1603.0,400.0,1603.0,0.0,1200.0,400.0,quadratic,CMQ,130.5620185,401.0,0.00179640718563,0.00332502078138,1.0,0.0
48,QPLIB_10028,0.0,0.0,1200.0,0.0,0.0,indefinite,6400.0,1200.0,1600.0,401.0,400.0,min,400.0,1600.0,0.0,7200.0,400.0,1.0,80200.0,Solution found by GUROBI,801.0,Fabio Furini and Antonio Frangioni,0.0,160800.0,1.498127,2003.0,0.0,0.0,0.0,400.0,2000.0,400.0,3.552713679e-15,convex,400.0,0.0,400.0,0.0,800.0,1603.0,400.0,1603.0,0.0,1200.0,400.0,quadratic,CMQ,125.061293,401.0,0.00179640718563,0.00332502078138,1.0,0.0
49,QPLIB_10029,0.0,0.0,1200.0,0.0,0.0,indefinite,6400.0,1200.0,1600.0,401.0,400.0,min,400.0,1600.0,0.0,7200.0,400.0,1.0,80200.0,Solution found by CPLEX,801.0,Fabio Furini and Antonio Frangioni,0.0,160800.0,1.498127,2003.0,0.0,0.0,0.0,400.0,2000.0,400.0,1.065814104e-14,convex,400.0,0.0,400.0,0.0,800.0,1603.0,400.0,1603.0,0.0,1200.0,400.0,quadratic,CMQ,133.9004219,401.0,0.00179640718563,0.00332502078138,1.0,0.0
50,QPLIB_10030,0.0,0.0,9000.0,0.0,0.0,indefinite,36000.0,9000.0,12000.0,3000.0,1.0,min,3000.0,9000.0,0.0,42000.0,0.0,1.0,0.0,Solution found by CPLEX,9000.0,Fabio Furini and Antonio Frangioni,0.0,9000.0,1.0,12001.0,0.0,0.0,0.0,3000.0,15000.0,0.0,1.818989404e-12,linear,3000.0,0.0,3000.0,0.0,6000.0,9001.0,3000.0,9002.0,0.0,9000.0,0.0,linear,LMQ,14509419100.0,3000.0,0.000233294450925,0.000333333333333,0.0,0.0
51,QPLIB_10031,0.0,0.0,9000.0,0.0,0.0,indefinite,36000.0,9000.0,12000.0,3000.0,1.0,min,3000.0,9000.0,0.0,42000.0,0.0,1.0,0.0,Solution found by CPLEX,9000.0,Fabio Furini and Antonio Frangioni,0.0,9000.0,1.0,12001.0,0.0,0.0,0.0,3000.0,15000.0,0.0,4.547473509e-13,linear,3000.0,0.0,3000.0,0.0,6000.0,9001.0,3000.0,9002.0,0.0,9000.0,0.0,linear,LMQ,14426129190.0,3000.0,0.000233294450925,0.000333333333333,0.0,0.0
52,QPLIB_10032,0.0,0.0,9000.0,0.0,0.0,indefinite,36000.0,9000.0,12000.0,3000.0,1.0,min,3000.0,9000.0,0.0,42000.0,0.0,1.0,0.0,Solution found by LINDO,9000.0,Fabio Furini and Antonio Frangioni,0.0,9000.0,1.0,12001.0,0.0,0.0,0.0,3000.0,15000.0,0.0,9.094947018e-13,linear,3000.0,0.0,3000.0,0.0,6000.0,9001.0,3000.0,9002.0,0.0,9000.0,0.0,linear,LMQ,14465998210.0,3000.0,0.000233294450925,0.000333333333333,0.0,0.0
53,QPLIB_10033,0.0,0.0,9000.0,0.0,0.0,indefinite,36000.0,9000.0,12000.0,3000.0,1.0,min,3000.0,9000.0,0.0,42000.0,0.0,1.0,0.0,Solution found by BARON,9000.0,Fabio Furini and Antonio Frangioni,0.0,9000.0,1.0,12001.0,0.0,0.0,0.0,3000.0,15000.0,0.0,5.006768333e-10,linear,3000.0,0.0,3000.0,0.0,6000.0,9001.0,3000.0,9002.0,0.0,9000.0,0.0,linear,LMQ,14487197690.0,3000.0,0.000233294450925,0.000333333333333,0.0,0.0
60,QPLIB_10040,11.0,0.0,125.0,0.0,0.0,linear,750.0,125.0,0.0,1.0,124.0,min,125.0,125.0,0.0,875.0,114.0,1.0,7299.0,Solution found by SCIP,2.0,Andrea Lodi,0.0,14473.0,62.5,6.0,0.0,125.0,0.0,0.0,125.0,125.0,0.0,indefinite,0.0,0.0,0.0,0.0,125.0,6.0,0.0,6.0,0.0,0.0,125.0,quadratic,QBL,-0.0,1.0,1.0,1.0,0.926272,0.088
61,QPLIB_10041,5.0,0.0,124.0,0.0,0.0,linear,750.0,124.0,0.0,1.0,124.0,min,125.0,124.0,0.0,874.0,25.0,124.0,7739.0,Solution found by SCIP,1.0,Andrea Lodi,0.0,15354.0,124.0,6.0,0.0,124.0,0.0,0.0,125.0,124.0,0.0,indefinite,0.0,0.0,0.0,0.0,124.0,6.0,0.0,6.0,0.0,0.0,124.0,quadratic,QBL,-0.0,1.0,0.998857142857,1.0,0.998569198751,0.04
62,QPLIB_10042,1.0,0.0,124.0,0.0,0.0,linear,625.0,124.0,0.0,1.0,124.0,min,125.0,124.0,0.0,750.0,123.0,124.0,7743.0,Solution found by BARON,1.0,Andrea Lodi,0.0,15362.0,124.0,5.0,0.0,124.0,0.0,0.0,125.0,124.0,0.0,indefinite,0.0,0.0,0.0,0.0,125.0,5.0,0.0,5.0,0.0,0.0,124.0,quadratic,QBL,-20.8819262,1.0,1.0,1.0,0.999089490114,0.008
63,QPLIB_10043,7.0,0.0,148.0,0.0,0.0,linear,1498.0,148.0,0.0,1.0,148.0,min,150.0,148.0,0.0,1646.0,141.0,148.0,10661.0,Solution found by SCIP,1.0,Andrea Lodi,0.0,21174.0,148.0,10.0,0.0,148.0,0.0,0.0,150.0,148.0,0.0,indefinite,0.0,0.0,0.0,0.0,148.0,10.0,0.0,10.0,0.0,0.0,148.0,quadratic,QBL,-0.0,1.0,0.997575757576,1.0,0.966672753835,0.0466666666667
64,QPLIB_10044,12.0,0.0,148.0,0.0,0.0,linear,900.0,148.0,0.0,1.0,146.0,min,150.0,148.0,0.0,1050.0,136.0,1.0,10697.0,Solution found by CPLEX,3.0,Andrea Lodi,0.0,21246.0,49.333333,6.0,0.0,148.0,0.0,0.0,150.0,148.0,0.0,indefinite,0.0,0.0,0.0,0.0,150.0,6.0,0.0,6.0,0.0,0.0,148.0,quadratic,QBL,-7.868866549,1.0,1.0,1.0,0.96995982469,0.08
65,QPLIB_10045,13.0,0.0,143.0,0.0,0.0,linear,1498.0,143.0,0.0,1.0,143.0,min,150.0,143.0,0.0,1641.0,130.0,143.0,10234.0,Solution found by SCIP,1.0,Andrea Lodi,0.0,20325.0,143.0,10.0,0.0,143.0,0.0,0.0,150.0,143.0,0.0,indefinite,0.0,0.0,0.0,0.0,143.0,10.0,0.0,10.0,0.0,0.0,143.0,quadratic,QBL,-0.0,1.0,0.994545454545,1.0,0.993936133796,0.0866666666667
66,QPLIB_10046,1.0,0.0,147.0,0.0,0.0,linear,900.0,147.0,0.0,1.0,144.0,min,150.0,147.0,0.0,1050.0,146.0,1.0,10022.0,Solution found by SCIP,4.0,Andrea Lodi,0.0,19897.0,36.75,6.0,0.0,147.0,0.0,0.0,150.0,147.0,0.0,indefinite,0.0,0.0,0.0,0.0,150.0,6.0,0.0,6.0,0.0,0.0,147.0,quadratic,QBL,-0.7127002361,1.0,1.0,1.0,0.920773751678,0.00666666666667
67,QPLIB_10047,7.0,0.0,150.0,0.0,0.0,linear,1498.0,150.0,0.0,1.0,150.0,min,150.0,150.0,0.0,1648.0,76.0,150.0,11318.0,Solution found by SCIP,1.0,Andrea Lodi,0.0,22486.0,150.0,10.0,0.0,150.0,0.0,0.0,150.0,150.0,0.0,indefinite,0.0,0.0,0.0,0.0,150.0,10.0,0.0,10.0,0.0,0.0,150.0,quadratic,QBL,-0.0,1.0,0.998787878788,1.0,0.999377777778,0.0466666666667
68,QPLIB_10048,2.0,0.0,149.0,0.0,0.0,linear,750.0,149.0,0.0,1.0,149.0,min,150.0,149.0,0.0,900.0,77.0,149.0,11167.0,Solution found by CPLEX,1.0,Andrea Lodi,0.0,22185.0,149.0,5.0,0.0,149.0,0.0,0.0,150.0,149.0,0.0,indefinite,0.0,0.0,0.0,0.0,150.0,5.0,0.0,5.0,0.0,0.0,149.0,quadratic,QBL,-13.56267356,1.0,1.0,1.0,0.999279311743,0.0133333333333
69,QPLIB_10049,4.0,0.0,149.0,0.0,0.0,linear,1498.0,149.0,0.0,1.0,149.0,min,150.0,149.0,0.0,1647.0,71.0,149.0,11167.0,Solution found by SCIP,1.0,Andrea Lodi,0.0,22185.0,149.0,10.0,0.0,149.0,0.0,0.0,150.0,149.0,0.0,indefinite,0.0,0.0,0.0,0.0,149.0,10.0,0.0,10.0,0.0,0.0,149.0,quadratic,QBL,-0.0,1.0,0.998181818182,1.0,0.999279311743,0.0266666666667
71,QPLIB_10051,3.0,0.0,149.0,0.0,0.0,linear,1498.0,149.0,0.0,1.0,149.0,min,150.0,149.0,0.0,1647.0,40.0,149.0,11164.0,Solution found by SCIP,1.0,Andrea Lodi,0.0,22179.0,149.0,10.0,0.0,149.0,0.0,0.0,150.0,149.0,0.0,indefinite,0.0,0.0,0.0,0.0,149.0,10.0,0.0,10.0,0.0,0.0,149.0,quadratic,QBL,-0.0,1.0,0.998181818182,1.0,0.999009053646,0.02
72,QPLIB_10052,2.0,0.0,150.0,0.0,0.0,linear,900.0,150.0,0.0,1.0,150.0,min,150.0,150.0,0.0,1050.0,148.0,150.0,11315.0,Solution found by CPLEX,1.0,Andrea Lodi,0.0,22480.0,150.0,6.0,0.0,150.0,0.0,0.0,150.0,150.0,0.0,indefinite,0.0,0.0,0.0,0.0,150.0,6.0,0.0,6.0,0.0,0.0,150.0,quadratic,QBL,-11.81057614,1.0,1.0,1.0,0.999111111111,0.0133333333333
73,QPLIB_10053,1.0,0.0,149.0,0.0,0.0,linear,1498.0,149.0,0.0,1.0,149.0,min,150.0,149.0,0.0,1647.0,148.0,149.0,11168.0,Solution found by SCIP,1.0,Andrea Lodi,0.0,22187.0,149.0,10.0,0.0,149.0,0.0,0.0,150.0,149.0,0.0,indefinite,0.0,0.0,0.0,0.0,149.0,10.0,0.0,10.0,0.0,0.0,149.0,quadratic,QBL,-0.0,1.0,0.998181818182,1.0,0.999369397775,0.00666666666667
